movieId,rating_count,rating_mean
1,215,3.9209302325581397
2,110,3.4318181818181817
3,52,3.2596153846153846
4,7,2.357142857142857
5,49,3.0714285714285716
6,102,3.946078431372549
7,54,3.185185185185185
8,8,2.875
9,16,3.125
10,132,3.496212121212121
11,70,3.6714285714285713
12,19,2.4210526315789473
13,8,3.125
14,18,3.8333333333333335
15,13,3.0
16,82,3.926829268292683
17,67,3.7761194029850746
18,20,3.7
19,88,2.727272727272727
20,15,2.5
21,89,3.49438202247191
22,36,3.2222222222222223
23,16,3.125
24,28,3.125
25,76,3.625
26,13,3.5
27,9,3.3333333333333335
28,11,4.2272727272727275
29,38,4.0131578947368425
30,3,3.0
31,38,3.1842105263157894
32,177,3.983050847457627
34,128,3.65234375
36,67,3.8358208955223883
38,4,2.125
39,104,3.293269230769231
40,2,4.25
41,15,3.7
42,7,3.0
43,8,3.1875
44,46,2.5434782608695654
45,32,3.3125
46,15,3.066666666666667
47,203,3.9753694581280787
48,68,3.1470588235294117
49,1,3.0
50,204,4.237745098039215
52,28,3.4642857142857144
53,2,5.0
54,3,2.3333333333333335
55,1,4.0
57,8,3.0625
58,37,4.027027027027027
60,34,3.235294117647059
61,6,3.75
62,80,3.70625
63,7,2.7142857142857144
64,5,2.2
65,31,2.532258064516129
66,9,2.5
68,5,3.4
69,20,3.775
70,55,3.5090909090909093
71,5,1.7
72,7,3.2142857142857144
73,13,3.4615384615384617
74,8,4.0
75,5,2.2
76,15,3.4
77,1,4.0
78,3,3.3333333333333335
79,17,2.764705882352941
80,2,4.0
81,14,3.107142857142857
82,8,3.875
83,1,3.0
85,7,3.857142857142857
86,15,3.966666666666667
87,7,2.5
88,16,3.15625
89,10,3.25
92,8,2.625
93,9,2.8333333333333335
94,10,3.95
95,84,3.0238095238095237
96,1,3.5
97,10,3.9
99,2,5.0
100,14,2.7857142857142856
101,23,3.782608695652174
102,5,2.4
103,3,3.0
104,99,3.4393939393939394
105,23,3.282608695652174
106,1,4.0
107,26,3.326923076923077
108,1,4.0
110,237,4.031645569620253
111,104,4.105769230769231
112,46,3.5434782608695654
113,3,3.3333333333333335
116,5,3.9
117,1,3.0
118,2,2.5
119,2,3.0
121,2,4.0
122,16,2.65625
123,4,4.375
125,12,3.5833333333333335
126,7,2.0
128,1,3.0
129,1,2.0
132,6,2.8333333333333335
135,31,2.9516129032258065
137,1,3.0
140,16,3.5
141,86,3.494186046511628
144,12,3.3333333333333335
145,51,3.2450980392156863
146,3,3.3333333333333335
147,15,3.466666666666667
148,1,5.0
149,1,2.0
150,201,3.845771144278607
151,44,3.5454545454545454
152,2,1.5
153,137,2.9160583941605838
154,12,3.875
155,6,2.4166666666666665
156,3,3.3333333333333335
157,11,2.8636363636363638
